,Unnamed: 0.1,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,0,108763,0.5847222208976746,12100549,0.8597221970558167,4018526,0.8597222222222223,1310650
1,1,1,217115,0.8127777576446533,17002475,0.9194444417953492,5649817,0.9169444444444445,1405895
2,2,2,325575,0.7808333039283752,1214380,0.6594444513320923,408559,0.6583333333333333,416270
3,3,3,434143,0.8075000047683716,18230490,0.6261110901832581,6058462,0.6288888888888889,1192112
4,4,4,542819,0.9058333039283752,15679505,0.9183333516120912,5241975,0.9188888888888889,211231
5,5,5,651603,0.9138888716697692,19466431,0.9327777624130248,6466899,0.9319444444444445,615654
6,6,6,760495,0.9266666769981384,13218302,0.6644444465637207,4425559,0.6691666666666667,824596
7,7,7,869495,0.8902778029441833,2399452,0.82833331823349,810455,0.8275,1610317
8,8,8,978603,0.92166668176651,9615923,0.7680555582046509,3206041,0.7675,1510227
9,9,9,1087819,0.928333342075348,8384752,0.9352777600288392,2802174,0.935,720635
10,10,10,1197143,0.9399999976158142,7190932,0.7908333539962769,2399106,0.7913888888888889,106829
11,11,11,1306575,0.9269444346427916,4720680,0.5758333206176758,1601953,0.5786111111111111,923867
12,12,12,1416115,0.953611135482788,6040847,0.8852777481079102,1999969,0.885,520427
13,13,13,1525763,0.9561111330986024,10861641,0.6911110877990723,3612185,0.6911111111111111,1112255
14,14,14,1635519,0.948888897895813,3624952,0.5794444680213928,1208222,0.5791666666666667,308127
15,15,15,1745383,0.9577777981758118,14521039,0.9161111116409302,4833821,0.9177777777777778,1020265
