,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,108763,0.3697222173213959,12054666,0.9233333468437196,4018609,0.9233333333333333,1307287
1,1,217115,0.7488889098167419,16995917,0.8652777671813965,5649967,0.8625,1417808
2,2,325575,0.8211110830307007,697643,0.4963888823986053,408516,0.49694444444444447,410412
3,3,434143,0.8463888764381409,18135976,0.8383333086967468,6058729,0.8358333333333333,1214031
4,4,542819,0.8475000262260437,15730295,0.8763889074325562,5241841,0.8725,212595
5,5,651603,0.908055543899536,19407423,0.866944432258606,6467069,0.8658333333333333,620383
6,6,760495,0.9375,13248074,0.621666669845581,4425895,0.6205555555555555,820712
7,7,869495,0.9416666626930236,2411736,0.73416668176651,810338,0.7341666666666666,1604051
8,8,978603,0.9172222018241882,9653087,0.7969444394111633,3206156,0.7961111111111111,1511298
9,9,1087819,0.956944465637207,8428342,0.9058333039283752,2802287,0.9058333333333334,707178
10,10,1197143,0.9133333563804626,7222884,0.8652777671813965,2399465,0.8652777777777778,105471
11,11,1306575,0.9222221970558168,4784042,0.6702777743339539,1602250,0.6708333333333333,932835
12,12,1416115,0.9530555605888368,5974615,0.6708333492279053,1998724,0.6708333333333333,510791
13,13,1525763,0.9713888764381408,10829293,0.9158333539962769,3611910,0.9155555555555556,1118502
14,14,1635519,0.954722225666046,3615877,0.745555579662323,1208065,0.7452777777777778,310441
15,15,1745383,0.9549999833106996,14508794,0.8436111211776733,4833810,0.8461111111111111,1025775
